ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020625002;"Etude de paysage";"THIER Bernhard Heinrich";;"447 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 42, dessiné au verso";
cl020625003;"Etude de paysage";"THIER Bernhard Heinrich";;"448 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 43, dessiné au recto";
cl020625004;"Etude de voiliers";"THIER Bernhard Heinrich";;"448 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 43, dessiné au verso";
cl020625005;"Etude de voiliers";"THIER Bernhard Heinrich";;"449 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 44, dessiné au recto";
cl020625006;"Etude de voiliers";"THIER Bernhard Heinrich";;"449 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 44, dessiné au verso";
cl020625007;"Etude de voiliers";"THIER Bernhard Heinrich";;"450 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 45, dessiné au recto";
cl020625008;"Etude de voiliers";"THIER Bernhard Heinrich";;"451 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 46, dessiné au recto";
cl020625009;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"452 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 54, dessiné au recto";
cl020625010;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"452 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 54, dessiné au verso";
cl020625011;"Etude d'oiseaux";"THIER Bernhard Heinrich";;"453 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 55, dessiné au recto";
